signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.ob_swing_len,ict.mss_pivot_len,ict.displacement_perc_body,ict.sweep_penetration_atr,smc.swing_len,smc.internal_len,draw
ict_bpr_bullish,2404,0.004590314006685909,-0.0024020148389974046,0.9717652152133005,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_displacement_bearish,16984,-0.008509385171884255,-0.00159526584260636,0.9998709374915097,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_displacement_bullish,18537,0.005252218495541129,-0.001705296438548381,0.9999824874514402,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_fvg_bearish_formed,7373,-0.008997285399955297,-0.0020696929495282517,0.998491795470365,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_fvg_bullish_formed,9066,0.004688759818513751,-0.0022901791786903323,0.9998921887240788,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_liquidity_buyside_pool_formed,3010,0.009197494748693122,0.0024883076191594107,0.009567073144670592,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_liquidity_buyside_swept,2339,0.006768545703825705,5.733247082988745e-05,0.48104369553659154,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_liquidity_sellside_pool_formed,2582,-0.009271504579719333,-0.002497113730343817,0.9819054739359419,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_liquidity_sellside_swept,1681,-0.010984867797072783,-0.0041997769241577726,0.9974415528868736,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_mss_bearish,2041,-0.009580235143955014,-0.002610192332298776,0.9728482127469291,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_mss_bullish,2042,0.004820921633502527,-0.002156592745811441,0.9439525005203792,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.7806794361952906,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.47592891614316346,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_ob_bearish_formed,518,-0.003378086586096703,0.0035965739172788905,0.09724491938881491,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_ob_bearish_mitigated,468,0.0076838265308687495,0.000701973226128038,0.4043888149593946,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_ob_bullish_formed,837,0.004964090407114892,-0.002042427112790491,0.8370471923140665,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_ob_bullish_mitigated,452,-0.011925418865417795,-0.005159183582090156,0.9616535666023535,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_sweep_buyside_bearish,3615,-0.006360702726345536,0.00045570808394859545,0.3225885319114087,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_sweep_sellside_bullish,2737,0.008921112095235304,0.0020274288846396857,0.04054344330136428,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_volume_imbalance_bearish,5045,-0.009415081939126553,-0.0025412157087679388,0.9987350022215988,25,6,0.594096369791427,0.3086825371587365,47,13,3
ict_volume_imbalance_bullish,6878,0.003829990662614132,-0.002981997350039685,0.9999910864480701,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_equal_highs,608,-0.006723847601595759,0.00015417538021324142,0.4750942388654891,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_equal_lows,566,0.004623623441085305,-0.00262050862856175,0.8353347025597642,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_fvg_bearish_formed,4076,-0.011046893020218933,-0.0041614177766649725,0.9999935601008247,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_fvg_bullish_formed,4184,0.006487487426096057,-0.0005844099253412656,0.7279269880887392,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_internal_bos_bearish,359,-0.009272851598326047,-0.0019253532960748568,0.7063913239923447,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_internal_bos_bullish,800,0.0028993595314728226,-0.004241342190973696,0.9754966290399266,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_internal_choch_bearish,656,-0.005221105845358846,0.0017837786569277715,0.2308767466080352,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_internal_choch_bullish,654,0.006228900071014995,-0.0007931888595135656,0.627953321344968,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_internal_ob_bearish_formed,1015,-0.006654186362910791,0.0004718787838953161,0.406847419559158,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_internal_ob_bearish_mitigated,1004,0.0067980222447921596,-0.0003277375804361304,0.5646720491113757,25,6,0.594096369791427,0.3086825371587365,47,13,3
smc_internal_ob_bullish_formed,1454,0.004396965798914763,-0.002690384640234407,0.9529054799776898,25,6,0.594096369791427,0.3086825371587365,47,13,3
